sha256,bytes,canonical_path,selected_source,selected_source_path,source_copy_count
744ef45b0cdd9d9d6ad13a79f239eba52c643669b5478824675f8df0c5a0384c,1888448,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05MA_Thats_The_Whole_Trick.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05MA_Thats_The_Whole_Trick.png,1
7462578aed1ce73e2156b71f43ce82416f0e7cfb27ade6c6105a157877ae06c6,523744,clips/ep01/ep01-at07-questions.jpg,repo,clips/ep01/ep01-at07-questions.jpg,2
76bde9ac0954cb2a0d67ae01e4861f484fa3df82b9f61daac4c257f4a070dc73,1254340,audio/processed/video_04_ai.mp3,legacy,truth-explains-media/audio/processed/video_04_ai.mp3,1
786235826427596f8d9821243a4bb722e74f13957a0941bf5093fd2d4045b91c,2640799,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_scene01_opening_question_no_key_no_icons_16x9.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/ep02_scene01_opening_question_no_key_no_icons_16x9.png,2
79cb4efe1454456ddd28fab769671aa4bd07afe779b5c9a9ecd4271fe4f4d4fe,533333,clips/ep01/ep01-s8b-2fa.jpg,repo,clips/ep01/ep01-s8b-2fa.jpg,2
7b4c643610e97b96c577e7638d8148e8e06e306553d39b3afa16f8bc1c919441,288738,clips/ep01/ep01-s8d-links.jpg,repo,clips/ep01/ep01-s8d-links.jpg,2
7cb1877dab96e114b746ecf6e87bcc30ecd324b2e4e708ae9ebeb38ad81517d4,19024172,audio/ep01_at01_hey_family_audo.wav,repo,audio/ep01_at01_hey_family_audo.wav,2
7cef4bdb9a254f52568367668f046590bf06ffc1bbf87ec90c37ea7daabd91e7,428686,clips/ep01/ep01-s0b-soc.jpg,repo,clips/ep01/ep01-s0b-soc.jpg,2
7f2ea3edd278e93c4db104dcf2601b1696a7b72d9a17bdbdf9d731f17c549b73,1789168,clips/library/at-lib-05.mp4,repo,clips/library/at-lib-05.mp4,3
808a32f9eea77743355bfb9e373f24789e3ad975cf29469b8211e54f47bd4b8a,19903273,legacy-projects/remotion/clips/ep01/b-roll-01.mp4,legacy,remotion/public/clips/ep01/b-roll-01.mp4,1
812014108af677d46d3eb65879dd77b3d2fa6776a6100f99c176e0e37d6891db,2405651,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05N_What_If_It_Gets_Hacked.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05N_What_If_It_Gets_Hacked.png,1
818339d3a49a1c7df3508eb7575976cd4c620e1de8ef91ae4c8fc6798c07dcac,2374628,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05E_You_Need_A_Better_System.png,new,episodes/EP02_Passwords_and_Password_Managers/04_still_images/E02_B05E_You_Need_A_Better_System.png,1
82b739f699b4665e6fc0671a72e405838f6766d82cb8966ceda8ecce52dfc71e,18929382,renders/campaign01_rush_you_tiktok_short.mp4,repo,renders/campaign01_rush_you_tiktok_short.mp4,2
8450d7cd4eabc45139538599716c53a8b2c4cf6e23ec8b6a1c5d323faba49214,1394774,audio/processed/video_03_ai.mp3,legacy,truth-explains-media/audio/processed/video_03_ai.mp3,1
84d2fa6668cdf470c987f5a281e6575c0bf400ec497dafc68f59b8c1a2706f1b,2607384,clips/ep01_animated/ap01-s8c-update-animated.mp4,repo,clips/ep01_animated/ap01-s8c-update-animated.mp4,4
853c88207d7818122f9f3a8dce18a0e7163c1dc0472f1376c2410d651fc5c21e,3503890,clips/ep01_animated/ep01-s0b-soc-animated.mp4,repo,clips/ep01_animated/ep01-s0b-soc-animated.mp4,2
8578ffcd562ec01344d3def0dd180b8894441ce92ace9b61d50847ac28a9f257,2191874,clips/ep01_animated/ep01-s2e-digital-doors-animated.mp4,repo,clips/ep01_animated/ep01-s2e-digital-doors-animated.mp4,2
866eb8a23d0845da9e7eea80f6c1fc4173fe8a9f7e56df2d7c4b256425b2599f,326697,clips/ep01/ep01-s8a-passwords.jpg,new,clips/ep01/ep01-s8a-passwords.jpg,2
